total_secs,eprew_std,recent_best_ext_ret,recent_best_eplen,eprew_recent,best_ext_ret,epcount,eplen,best_eplen,tcount,recent_worst_eplen,eplen_std,eprew,rew_mean,n_updates
688.5450542,0.279067049,-17.8125,100,-19.91365132,-17.8125,608,100,100,60800,100,0,-19.9234375,-0.17177765,1
1374.985359,0.342223172,-17.8125,100,-19.88769531,-17.8125,1248,100,100,124800,100,0,-19.8796875,-0.18851049,2
2057.774482,0.296726937,-18.75,100,-19.88867188,-17.8125,1888,100,100,188800,100,0,-19.9125,-0.18955351,3
2740.731016,0.372176873,-17.8125,100,-19.84155273,-17.8125,2528,100,100,252800,100,0,-19.85625,-0.18902342,4
3422.611957,0.405058348,-17.5,100,-19.82617188,-17.5,3168,100,100,316800,100,0,-19.865625,-0.18883735,5
4113.492487,0.485580657,-17.8125,100,-19.81445313,-17.5,3808,100,100,380800,100,0,-19.7046875,-0.18855728,6
4791.539202,0.400975373,-17.8125,100,-19.79467773,-17.5,4448,100,100,444800,100,0,-19.825,-0.1879285,7
5467.673539,0.448783077,-17.8125,100,-19.7199707,-17.5,5088,100,100,508800,100,0,-19.76875,-0.18671598,8
6146.427578,0.540116723,-17.8125,100,-19.69091797,-17.5,5728,100,100,572800,100,0,-19.6921875,-0.18618023,9
6932.229863,0.535541034,-16.71875,100,-19.5949707,-16.71875,6368,100,100,636800,100,0,-19.6484375,-0.18497151,10
7803.709859,0.586458102,-16.5625,100,-19.56640625,-16.5625,7008,100,100,700800,100,0,-19.5078125,-0.184161,11
8685.493913,0.647506862,-17.65625,100,-19.48144531,-16.5625,7648,100,100,764800,100,0,-19.3953125,-0.18320185,12
9574.768815,0.768665836,-16.5625,100,-19.2824707,-16.5625,8288,100,100,828800,100,0,-19.2453125,-0.18066461,13
10442.41379,0.676611214,-16.5625,100,-19.16308594,-16.5625,8928,100,100,892800,100,0,-19.253125,-0.17890833,14
11254.74882,0.749470842,-15.46875,100,-19.09350586,-15.46875,9568,100,100,956800,100,0,-18.9765625,-0.17809065,15
12058.62095,0.790289887,-16.40625,100,-18.85449219,-15.46875,10208,100,100,1020800,100,0,-18.8140625,-0.17508441,16
12868.52596,0.770353701,-16.5625,100,-18.703125,-15.46875,10848,100,100,1084800,100,0,-18.5859375,-0.17343909,17
13670.48599,0.817919128,-15.625,100,-18.51464844,-15.46875,11488,100,100,1148800,100,0,-18.5796875,-0.17106602,18
14350.14163,0.898755379,-15.46875,100,-18.31079102,-15.46875,12128,100,100,1212800,100,0,-18.1703125,-0.16840842,19
15026.20721,0.875684721,-14.53125,100,-18.09326172,-14.53125,12768,100,100,1276800,100,0,-18.1203125,-0.1664765,20
15706.64,0.958799705,-14.53125,100,-17.93505859,-14.53125,13408,100,100,1340800,100,0,-17.94375,-0.16434635,21
16389.88952,0.889807739,-14.53125,100,-17.65405273,-14.53125,14048,100,100,1404800,100,0,-17.55625,-0.16147546,22
17069.89707,0.977344687,-14.21875,100,-17.42651367,-14.21875,14688,100,100,1468800,100,0,-17.4328125,-0.15881944,23
17743.09015,0.981094484,-14.0625,100,-17.23535156,-14.0625,15328,100,100,1532800,100,0,-17.2984375,-0.15650128,24
18420.08416,0.930351654,-14.21875,100,-16.97607422,-14.0625,15968,100,100,1596800,100,0,-16.9328125,-0.15386823,25
19097.33539,1.167883828,-13.4375,100,-16.63671875,-13.4375,16608,100,100,1660800,100,0,-16.6171875,-0.15008189,26
19778.0561,0.980795824,-13.125,100,-16.1628418,-13.125,17248,100,100,1724800,100,0,-16.2359375,-0.14610162,27
20458.8609,1.095017123,-11.25,100,-15.88769531,-11.25,17888,100,100,1788800,100,0,-15.76875,-0.14265391,28
21137.02012,1.183400613,-12.03125,100,-15.58959961,-11.25,18528,100,100,1852800,100,0,-15.7671875,-0.13937902,29
21813.77559,1.139527511,-10.9375,100,-15.20825195,-10.9375,19168,100,100,1916800,100,0,-15.1484375,-0.1361006,30
22493.34125,1.226827201,-11.25,100,-14.91943359,-10.9375,19808,100,100,1980800,100,0,-14.9953125,-0.13275187,31
23169.98985,1.225999074,-10.78125,100,-14.63256836,-10.78125,20448,100,100,2044800,100,0,-14.4984375,-0.13029376,32
