maze,case,RL,std,priority,std,default,std,none,std
maze0524,v0,62.5,2.39,38.93,3.78,37.04,3.51,2.33,0.95
maze0524,v1,61.6,3.05,33.65,3.25,28.41,4.03,2.7,0.96
maze0524,v2,60.97,2.89,44.8,3.74,37.21,4.01,2.29,0.92
maze0524,v3,55.03,2.48,20.89,3,12.02,2.85,3.2,1.12
maze0524,v4,20.9,2.36,15.52,2.41,6.11,1.96,2.76,0.92
maze0524,v5,38.49,2.54,25.21,2.86,5.36,1.78,2.69,0.96
maze0523,v0,69.59,3.2,53.29,5.04,38.85,5.04,2.97,1.4
maze0523,v1,43.84,2.835,30.35,5.1,28.27,4.82,2.68,1.38
maze0523,v2,45.12,2.99,32.23,5.44,16.22,3.96,3.12,1.48
maze0523,v3,36.05,4.2,18.33,3.9,14.82,4.01,3.24,1.57
maze0523,v4,42.61,4.26,24.21,4.93,11.07,3.33,3.17,1.52
maze0523,v5,16.8,3.32,15.14,2.91,9.19,2.68,3.23,1.42
maze0522,v0,76.94,3.27,53.02,4.76,52.01,4.08,9.68,2.54
maze0522,v1,70.94,3.51,49.18,4.53,45.34,5.16,5.74,2.13
maze0522,v2,78.78,2.83,55.12,5.43,52.33,5.09,11.41,2.54
maze0522,v3,67.35,3.08,56.92,4.73,46.45,6.89,6.38,1.98
maze0522,v4,33.62,3.78,23.54,3.56,10.65,3.36,12.12,2.72
maze0522,v5,61.05,4.04,54.25,3.43,51.34,5.3,6.23,2.01
